Nome;Pergunta;Resposta
Kwell;Em que situações médicas é recomendado o uso de Kwell?;Indicado para eliminar piolhos e lêndeas dos cabelos.
Amoximed;De que maneira Amoximed deve ser administrado?;Crianças de 3 a 12 anos: 250 mg/5 ml 5 ml de 8 em 8 horas.
Lipless;Há alguma condição específica em que o uso de Lipless é desaconselhado?;LipLess é contra-indicado em casos de insuficiência hepática ou renal graves, na gravidez e na lactação e em pacientes com hipersensibilidade ao ciprofibrato.Gerais - os pacientes devem ser orientados a avisar prontamente o médico sobre a ocorrência de mialgia, sensibilidade à palpação ou fraqueza muscular. Nos pacientes que apresentarem estes sintomas, os níveis séricos de creatina fosfoquinase (CPK) devem ser imediatamente verificados, suspendendo-se o tratamento caso seja diagnosticada miopatia ou se os níveis de CPK estiverem muito altos. Este acometimento parece estar relacionado à dose e, portanto, a posologia recomendada de 100 mg diários não deve ser ultrapassada. Deve-se ter precaução na administração em pacientes com doença na vesícula biliar ou cálculo biliarPacientes com hipotireoidismo podem apresentar dislipidemia secundária e, portanto, este distúrbio deve ser corrigido antes de ser instituído o tratamento da hiperlipidemia. O hipotireiodismo também pode representar um fator de risco quanto à miopatia. A presença de hipoalbuminemia, por exemplo em caso de síndrome nefrótica, também pode aumentar o risco de miopatia.Caso as concentrações séricas dos lipídeos não forem controladas após vários meses de tratamento, medidas terapêuticas adicionais ou alternativas deverão ser consideradas.Gravidez - não há evidências de que o ciprofibrato seja teratogênico, porém sinais de toxicidade foram observados com doses altas em testes de teratogenicidade em animais. Considerando que não há relatos sobre a administração de LipLess em mulheres grávidas, o ciprofibrato está contra-indicado durante a gravidez.Lactação - o ciprofibrato é excretado no leite de ratas que estão amamentando. Considerando que não existem dados sobre a utilização de LipLess em mulheres que estão amamentando, o ciprofibrato está contra-indicado durante a amamentação.Pediatria - o ciprofibrato não é recomendado para crianças, pois ainda não foram estabelecidas a segurança e eficácia de LipLess nesta faixa etária.Geriatria (idosos) - a administração de LipLess em pacientes idosos deve ser realizada com cautela, considerando que a função hepática e renal podem estar alteradas.Insuficiência renal/hepática - deve ser usado com cautela em pacientes com alteração de função hepática devido ao risco de acumulação do ciprofibrato. Recomenda-se proceder regularmente testes de função hepática. No caso de alterações persistentes das enzimas hepáticas, o tratamento deverá ser interrompido. Deve ser utilizado com cautela em pacientes com insuficiência renal leve e moderada. Está contra-indicado em pacientes com insuficiência renal grave.
Siludrox;Quais são os riscos para a saúde relacionados ao uso de Siludrox?;Alguns dos efeitos colaterais de Siludrox podem incluir náusea, prisão de ventre, vômito, enfraquecimento e desmineralização de ossos ou fraqueza muscular e lentidão.
Vacina contra a febre amarela;Para que serve Vacina contra a febre amarela?;A vacina contra a febre amarela é indicada para a prevenção desta doença em adultos e crianças acima de 9 meses de idade.
Eutonis 2 mg;Quais os males que Eutonis 2 mg pode me causar?;Sedação, tontura e cefaléia podem ser verificadas com doses elevadas ingeridas de uma só vez. Esses efeitos colaterais geralmente aparecem no início do tratamento, mas podem ser evitados pelo aumento gradual da dose, ou podem ser revertidos pela redução da mesma. Hipotensão ortostática, hipotonia muscular ou ataxia são fenômenos raros.
Codaten 50 mg;Quais são as orientações específicas para utilizar Codaten 50 mg?;A dose recomendada é de 1 a 3 comprimidos por dia, com intervalo de, pelo menos, 6 horas entre cada. A dose máxima diária é 3 comprimidos e não deve ser ultrapassada.
Emistin;Em que circunstâncias eu não deveria utilizar Emistin?;Relativas: tuberculoses, insuficiência cardíaca congestiva, úlcera duodenal em atividade e hipertensão arterial. Absolutas: psicoses, diabetes e infecções graves. Nos 3 primeiros meses de gravidez. Emistin é ainda contra-indicado a pacientes sensíveis aos componentes da fórmula, nos casos de dermatoses provocadas por vírus ou por fungos, nas lesões cutâneas tuberculosas.
Zinacef 750 mg;Para que serve Zinacef 750 mg?;O Zinacef é um medicamento que mata bactérias e impede sua multiplicação.Está indicado para o tratamento de vários tipos de infecções como:
Trok;Existem reações adversas conhecidas de Trok?;Alguns dos efeitos colaterais de Trok-G podem incluir ardor, sensibilidade, coceira e irritação na pele, pele seca ou ressequida, inflamação dos folículos do pelo, excesso de pelo, manchas claras na pele, acne, inflamação da pele com vermelhidão, dor, queimação, pele seca e descamativa.
Isoflavine;Quais são as instruções para o uso correto de Isoflavine?;A dose recomendada de Isoflavine 75 mg ou 150 mg é de 2 comprimidos por dia, de 12 em 12 horas, engolidos juntamente com um copo de água, sem partir ou mastigar.
Aminovac gotas;Em que situações médicas é recomendado o uso de Aminovac gotas?;Usado para tratar alergias provocadas por exposição a fungos do ar, à poeira, aos alimentos ou a germes.
Maxitrol;Quais são as orientações específicas para utilizar Maxitrol?;Maxitrol colírio:
Hemogenin comprimidos;Como funciona Hemogenin comprimidos?;O Hemogenin contém oximetolona, que estimula a formação de glóbulos vermelhos do sangue em pessoas com anemia devido à deficiência da medula óssea.
Asmax;De que maneira Asmax deve ser administrado?;Comprimidos:Adultos: 1 comprimido, 2 vezes ao dia.Em pacientes susceptíveis aos efeitos sedativos dos anti-histamínicos, a dose inicial deve ser menor e aumentando-se gradativamente até atingir a dose preconizada.Xarope:Crianças de 6 meses a 3 anos: 1/2 colher medida (2,5 ml), 2 vezes ao dia.Crianças acima de 3 anos: 1 colher medida (5 ml), 2 vezes ao dia.Adultos: 1 colher medida (5 ml), 2 vezes ao dia.Gotas (em solução oral):Crianças de 6 meses a 3 anos: 0,5 ml, 2 vezes ao dia.Crianças acima de 3 anos: 1 ml, 2 vezes ao dia.
Sedalgina;Quais os males que Sedalgina pode me causar?;A Sedalgina é um remédio bem tolerado, mas que pode ter como efeitos colaterais alergia na pele, aumento do batimento do coração, irritabilidade e alergia grave acompanhada de queda de pressão sanguínea.
Inflamene;Quais são os potenciais efeitos indesejados de Inflamene?;Inflamene em geral é bem tolerado.
Cefaliv;Quais são as contraindicações para Cefaliv?;Este medicamento não deve ser usado em pessoas com hipersensibilidade a qualquer um dos componentes da fórmula.
Lystate;Qual é o propósito principal de Lystate na área da saúde?;O Lystate é um medicamento indicado para o tratamento a longo prazo de pessoas com sobrepeso ou obesidade, incluindo aquelas com fatores de risco associados à obesidade, em conjunto com uma dieta levemente hipocalórica e é também eficaz no controle de peso a longo prazo.
Nasonex spray;Quando não devo usar Nasonex spray?;O nasonex não pode ser utilizado por crianças com menos de 2 anos ou por pessoas com hipersensibilidade ao furoato de mometasona ou a qualquer um dos seus componentes.
Venvanse;De que maneira Venvanse deve ser administrado?;A dose inicial e recomendada de Venvanse é de 30 mg uma vez por dia pela manhã e a dose máxima é 70 mg uma vez por dia pela manhã. O médico pode ajustar a dose até atingir a dose adequada para a pessoa e de tempos em tempos, o poderá suspender o tratamento para verificar os sintomas do transtorno de déficit de atenção e hiperatividade.
Algina;Quais os males que Algina pode me causar?;Alguns dos efeitos colaterais de Algina podem incluir reações de alergia no local de aplicação, como urticária, coceira ou vermelhidão na pele ou possível agravamento da inflamação.
Amicozol;Quais são as instruções para o uso correto de Amicozol?;A aplicação do creme deve ser feita após lavagem e secagem do local onde está a infecção. Deve-se aplicar uma camada de creme diretamente sobre a região atingida e espalhar por uma região um pouco maior que a área afetada.
Digedrat 200 mg;Existem situações em que o uso de Digedrat 200 mg não é recomendado?;Você não deve usar este medicamento se tiver algum tipo de alergia à trimebutina ou a qualquer um dos componentes da fórmula. Para o uso correto e seguro de DIGEDRAT, você deve seguir as orientações médicas bem como as informações contidas nesta bula.  Não existem relatos a respeito de interações medicamentosas de trimebutina na forma oral com alimentos. Entretanto, é recomendável que  você siga todas as orientações médicas quanto à dieta alimentar. Pequenas alterações podem ocorrer nos exames de sangue. Caso isso ocorra, relate ao seu médico que você faz uso de DIGEDRAT. DIGEDRAT deve ser engolido, sem mastigar, com um pouco de líquido. Qualquer outra forma de administração do medicamento não é recomendada. Este medicamento não deve ser utilizado por mulheres grávidas sem orientação médica ou do cirurgião-dentista. “Este medicamento é contra-indicado na faixa etária entre 0 e 12 anos.” “Informe ao médico ou cirurgião-dentista o aparecimento de reações indesejáveis”. “Informe ao seu médico ou cirurgião-dentista se você está fazendo uso de algum outro medicamento”. “Não use medicamento sem o conhecimento do seu médico. Pode ser perigoso para a sua saúde”.
Bactropin;Qual é a posologia recomendada para Bactropin?;Este medicamento deve-se ingerir com alimentos para diminuir a irritação gástrica.
Gardasil;Como Gardasil atua no organismo para produzir seus efeitos?;Gardasil é uma vacina que atua contra doenças provocadas pelo HPV, Papilomavírus Humano, porque estimula o sistema imune, fazendo com que ocorra produção de anticorpos específicos para os tipos 6, 11, 16 e 18 do HPV.
Almeida Prado 46;Há alguma condição específica em que o uso de Almeida Prado 46 é desaconselhado?;Almeida Prado 46 não deve ser utilizado por pessoas que tenham doenças no intestino ou que apresentem desidratação grave.
Rinosoro;Para que serve Rinosoro?;Rinosoro é indicado como auxiliar no tratamento das gripes e resfriados, rinite alérgica, rinossinusite, sinusite, gotejamento pós-nasal e no nós-operatório de cirurgia rinossinusal.
Metformed 500 e 850 mg;Em que situações médicas é recomendado o uso de Metformed 500 e 850 mg?;O Metformed é um medicamento antidiabético de uso oral, que associado a uma dieta apropriada, é utilizado para o tratamento do diabetes tipo 2, isoladamente ou em combinação com outros antiadiabéticos orais, como por exemplo aqueles da classe das sulfonilureias.
Drenalin;Qual é a posologia recomendada para Drenalin?;Para ressuscitação cardíaca, Drenalin é aplicado por via intravenosa ou intracardíaca.
